Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,37117456328
AA,Alcoa,Metals & Mining,8420349412
AAC,Ares Acquisition,Blank Check / SPAC,1233750009
AACG,ATA Creativity Global,Diversified Consumer Services,48661844
AACI,Armada Acquisition I,Blank Check / SPAC,204816955
AADI,Aadi Bioscience,Biotechnology,269104700
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,95216621
AAL,American Airlines Group,Airlines,8935383036
AAMC,Altisource Asset Management,Real Estate Management & Development,31951855
AAME,Atlantic American,Insurance,61210797
AAN,The Aaron's Company,Specialty Retail,475986400
AAOI,Applied Optoelectronics,Communications Equipment,45596263
AAON,"AAON, Inc.",Building Products,2995338471
AAP,Advance Auto Parts,Specialty Retail,11499125653
AAPL,Apple,"Technology Hardware, Storage & Periph...",2.47553E+12
AAQC,Accelerate Acquisition,Blank Check / SPAC,490500029
AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2297272820
AATC,Autoscope Technologies,Scientific & Technical Instruments,27173109
AAU,Almaden Minerals,Metals & Mining,30216061
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,1961769796
AB,AllianceBernstein Holding,Capital Markets,4163049974
ABB,ABB Ltd,Electrical Equipment,54688346087
ABBV,AbbVie,Biotechnology,2.65455E+11
ABC,AmerisourceBergen,Health Care Providers & Services,30194233293
ABCB,Ameris Bancorp,Banks,3009347572
ABCL,AbCellera Biologics,Biotechnology,2873813751
ABCM,Abcam,Biotechnology,3345222392
ABEO,Abeona Therapeutics,Biotechnology,25198340
ABEV,Ambev,Beverages,43153788926
ABG,Asbury Automotive Group,Specialty Retail,3639934911
ABGI,ABG Acquisition I,Blank Check / SPAC,190078103
ABIO,ARCA biopharma,Biotechnology,34440139
ABM,ABM Industries,Commercial Services & Supplies,2907953917
ABMD,Abiomed,Health Care Equipment & Supplies,12795299632
ABNB,Airbnb,"Hotels, Restaurants & Leisure",66796785657
ABOS,Acumen Pharmaceuticals,Biotechnology,213441850
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2486335226
ABSI,Absci,Biotechnology,300840480
ABST,Absolute Software,Software-Application,466338618
ABT,Abbott Laboratories,Health Care Equipment & Supplies,1.89977E+11
ABTX,Allegiance Bancshares,Banks,839781501
ABUS,Arbutus Biopharma,Biotechnology,358434494
ABVC,ABVC BioPharma,Biotechnology,26010607
AC,Associated Capital Group,Capital Markets,847800702
ACA,Arcosa,Construction & Engineering,2344056561
ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,299250009
ACAC,Acri Capital Acquisition,Blank Check / SPAC,268523876
ACAD,ACADIA Pharmaceuticals,Biotechnology,2297134584
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,423056250
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,322705500
ACAX,Alset Capital Acquisition,Blank Check / SPAC,105241280
